BookingID,Stage,EnteredDate,ExitedDate
BK-0001,Inquiry,2026-01-05,2026-01-08
BK-0001,Consultation,2026-01-08,2026-01-09
BK-0001,Quoted,2026-01-09,2026-01-10
BK-0001,Booked,2026-01-10,
BK-0002,Inquiry,2025-09-01,2025-09-03
BK-0002,Consultation,2025-09-03,2025-09-05
BK-0002,Quoted,2025-09-05,2025-09-10
BK-0002,Booked,2025-09-10,2026-02-01
BK-0002,Pre-Production,2026-02-01,2026-02-10
BK-0002,Shoot Scheduled,2026-02-10,2026-02-14
BK-0002,Shoot Completed,2026-02-14,2026-02-16
BK-0002,Footage Import,2026-02-16,2026-02-18
BK-0002,Culling/Selection,2026-02-18,2026-02-24
BK-0002,Rough Cut,2026-02-24,2026-03-02
BK-0002,Editing,2026-03-02,2026-03-12
BK-0002,Color Grading,2026-03-12,2026-03-16
BK-0002,Client Review,2026-03-16,2026-03-20
BK-0002,Revisions,2026-03-20,2026-03-22
BK-0002,Final Export,2026-03-22,2026-03-24
BK-0002,Delivery Prep,2026-03-24,2026-03-25
BK-0002,Delivered,2026-03-25,2026-03-28
BK-0002,Archived,2026-03-28,
